laptop_id,img_link,name,price,brand,use,processor,ram,os,storage
519,https://rukminim1.flixcart.com/image/312/312/ku2zjww0/computer/r/f/d/na-gaming-laptop-hp-original-imag7a7fgvrae7uu.jpeg?q=70,HP HP Pavilion Ryzen 5 Hexa Core AMD R5,3684.45,HP, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
520,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/b/j/-original-imagjfgy6ghyqssh.jpeg?q=70,Infinix INBook X2 Plus Core i3 11th Gen,1704.45,Infinix, Student/Education,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD
521,https://rukminim1.flixcart.com/image/312/312/kubk70w0/computer/w/q/e/inspiron-3511-laptop-dell-original-imag7guhghwehqbf.jpeg?q=70,DELL Core i3 11th Gen,2337.5,DELL, Business/Professional,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD
523,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70,ASUS TUF Gaming F15 Core i5 10th Gen,3244.45,ASUS, Gaming,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
524,https://rukminim1.flixcart.com/image/312/312/k9loccw0/computer/4/f/w/acer-na-gaming-laptop-original-imafrcpya8phvptc.jpeg?q=70,acer Predator Helios 300 Core i7 10th Gen,6599.45,acer, Gaming,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
528,https://rukminim1.flixcart.com/image/312/312/ktaeqvk0/computer/b/7/4/15s-gy0501au-thin-and-light-laptop-hp-original-imag6z6muntqnzzc.jpeg?q=70,HP Ryzen 3 Dual Core 3250U,2144.945,HP, Business/Professional,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD
529,https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/computer/b/u/m/na-gaming-laptop-acer-original-imag6h7gsyzcpwrb.jpeg?q=70,acer Predator Helios 300 Core i7 11th Gen,7479.45,acer, Budget Friendly,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD
531,https://rukminim1.flixcart.com/image/312/312/kl9rssw0/computer/v/n/e/hp-original-imagyfmhb29hsg6g.jpeg?q=70,HP Chromebook Intel Core i7 11th Gen,4861.45,HP, Multimedia/Entertainment,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD
532,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/computer/t/c/y/inspiron-5320-thin-and-light-laptop-dell-original-imagfpzgrnw6hykf.jpeg?q=70,DELL Core i7 12th Gen,6220.72,DELL, Gaming,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD
533,https://rukminim1.flixcart.com/image/312/312/l58iaa80/computer/y/w/x/gv301ra-li030ws-thin-and-light-laptop-asus-original-imagfyg7mmnyhfmz.jpeg?q=70,ASUS ROG Flow X13 Ryzen 7 Octa Core 6800HS,6324.45,ASUS, Gaming,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD
534,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70,HP Pavilion Ryzen 5 Hexa Core AMD R5,3080.0,HP, Budget Friendly,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
536,https://rukminim1.flixcart.com/image/312/312/kr58yvk0/computer/1/f/i/na-business-laptop-acer-original-imag5y57uuuaya3u.jpeg?q=70,acer Travelmate Core i3 11th Gen,2532.2,acer,Ultra-portable,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
538,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/f/8/i/-original-imageye8rydawpxz.jpeg?q=70,Avita SATUS S111 Celeron Dual Core,934.45,Avita, Budget Friendly,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,128 GB SSD
540,https://rukminim1.flixcart.com/image/312/312/knhsgi80/computer/b/i/2/na-thin-and-light-laptop-hp-original-imag25v8zcapzexv.jpeg?q=70,HP 14s Ryzen 3 Quad Core,2469.5,HP, Business/Professional,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
541,https://rukminim1.flixcart.com/image/312/312/kzn17680/computer/1/i/z/-original-imagbhzqahdzyx4e.jpeg?q=70,HP OMEN Ryzen 7 Octa Core AMD R7,5444.45,HP, Multimedia/Entertainment,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
543,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/e/6/n/apple-original-imafxfyq4agsgysn.jpeg?q=70,APPLE 2020 Macbook Pro M1,7149.45,APPLE,Ultra-portable,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,512 GB SSD
546,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H,3326.95,Lenovo, Business/Professional,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
547,https://rukminim1.flixcart.com/image/312/312/kr2e3680/computer/5/a/l/na-thin-and-light-laptop-asus-original-imag4yygqdqkpnpg.jpeg?q=70,ASUS Chromebook Celeron Dual Core,1429.45,ASUS,Ultra-portable,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,1 TB HDD
548,https://rukminim1.flixcart.com/image/312/312/kr2e3680/computer/5/a/l/na-thin-and-light-laptop-asus-original-imag4yygqdqkpnpg.jpeg?q=70,ASUS Chromebook Celeron Dual Core,1209.45,ASUS,Ultra-portable,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,512 GB SSD
549,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70,Lenovo Athlon Dual Core 3050U,1154.45,Lenovo, Gaming,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,Windows 10 Operating System,256 GB SSD
550,https://rukminim1.flixcart.com/image/312/312/kh9gbrk0/computer/e/6/d/asus-na-thin-and-light-laptop-original-imafxbj7gbsraqzk.jpeg?q=70,ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen,2309.45,ASUS, Gaming,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
551,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,MSI Core i7 11th Gen,4206.95,MSI, Budget Friendly,Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
553,https://rukminim1.flixcart.com/image/312/312/kzvlua80/computer/v/k/o/vostro-3510-thin-and-light-laptop-dell-original-imagbscgmx366uhv.jpeg?q=70,DELL Core i3 10th Gen,2358.95,DELL, Business/Professional,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD
554,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL Inspiron Ryzen 5 Quad Core 3450U,2743.95,DELL, Gaming,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
555,https://rukminim1.flixcart.com/image/312/312/l12h1u80/computer/2/s/q/14-dy1048tu-thin-and-light-laptop-hp-original-imagcpuvfpshgd7q.jpeg?q=70,HP Pavilion Intel Core i5 11th Gen,3821.95,HP, Gaming,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
556,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/p/i/1/crosshair-15-b12uez-gaming-laptop-msi-original-imageymuhhs7djjf.jpeg?q=70,MSI Crosshair 15 Core i7 12th Gen,6104.45,MSI, Budget Friendly,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD
557,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70,Lenovo IdeaPad Gaming 3 Core i5 10th Gen,3464.45,Lenovo, Budget Friendly,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
559,https://rukminim1.flixcart.com/image/312/312/jqb8ccw0/computer/x/g/g/asus-na-laptop-original-imafccy6gshnz6ct.jpeg?q=70,ASUS Core i3 7th Gen,1594.45,ASUS, Business/Professional,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
560,https://rukminim1.flixcart.com/image/312/312/kgtqhe80/computer/h/a/y/dell-original-imafwyv9f2e52zzh.jpeg?q=70,DELL Inspiron Core i3 10th Gen,2364.45,DELL, Business/Professional,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
562,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/v/u/l/na-thin-and-light-laptop-msi-original-imagyzqagngnrnzh.jpeg?q=70,MSI Prestige 14 Intel EVO Core i5 11th Gen,4124.45,MSI, Gaming,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,PCI-e Gen4 SSD?SHIFT?Matrix Display (Extend)?Cooler Boost 3?Thunderbolt 4?Finger Print Security?True Color 2.0?Hi-Res Audio?Nahimic 3? 4-Sided Thin bezel?MSI Center?Silky Smooth Touchpad?Military-Grade Durability
563,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70,acer Nitro 5 Ryzen 5 Hexa Core AMD R5,3299.45,acer, Business/Professional,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
564,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/q/t/6/-original-imagdv4ykwrjxbmh.jpeg?q=70,ASUS Chromebook Flip Touch Celeron Dual Core,1264.45,ASUS,Ultra-portable,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,512 GB SSD
565,https://rukminim1.flixcart.com/image/312/312/kawtvgw0/computer/g/h/h/msi-na-thin-and-light-laptop-original-imafsdbjzkxx2ssf.jpeg?q=70,MSI Prestige 14 Core i7 10th Gen,4124.45,MSI, Gaming,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
567,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/s/d/u/-original-imagdv4f66jmsqfv.jpeg?q=70,ASUS Chromebook Flip Touch Celeron Dual Core,1264.45,ASUS,Ultra-portable,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,512 GB SSD
568,https://rukminim1.flixcart.com/image/312/312/kolsscw0/computer/w/p/g/na-2-in-1-laptop-hp-original-imag3ff2hphu2zmy.jpeg?q=70,HP HP Envy Ryzen 7 Octa Core 4700U,4488.0,HP, Gaming,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD
569,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/l/7/m/-original-imagetj2awbvdju6.jpeg?q=70,ASUS TUF Gaming F15 (2022) Core i7 12th Gen,6764.45,ASUS, Budget Friendly,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD
570,https://rukminim1.flixcart.com/image/312/312/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70,Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,2639.45,Lenovo, Budget Friendly,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
572,https://rukminim1.flixcart.com/image/312/312/ks4yz680/computer/q/5/z/x409fa-ek617t-thin-and-light-laptop-asus-original-imag5rwhrgjtgkyq.jpeg?q=70,ASUS Vivobook 14 Core i3 10th Gen,1685.75,ASUS, Budget Friendly,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
573,https://rukminim1.flixcart.com/image/312/312/k7531jk0/computer/e/a/h/hp-original-imafpfs893zu5mhb.jpeg?q=70,HP 15s Ryzen 5 Quad Core 3500U,2891.625,HP, Business/Professional,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
574,https://rukminim1.flixcart.com/image/312/312/krf91u80/computer/z/0/m/ideapad-slim-laptop-lenovo-original-imag57x3p7bw8y8b.jpeg?q=70,Lenovo Core i3 10th Gen,2083.95,Lenovo, Budget Friendly,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows 10 Operating System,256 GB SSD
576,https://rukminim1.flixcart.com/image/312/312/ky4qgsw0/computer/j/f/5/240-g8-laptop-hp-original-imagaffva46zgucg.jpeg?q=70,HP Core i3 11th Gen,2193.95,HP, Budget Friendly,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
578,https://rukminim1.flixcart.com/image/312/312/kar44280/computer/f/6/p/asus-na-thin-and-light-laptop-original-imafs92tpthajprz.jpeg?q=70,ASUS VivoBook 14 Core i3 7th Gen,1869.45,ASUS, Business/Professional,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD
579,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/v/i/-original-imagggnnxdzu38xy.jpeg?q=70,HP 15s Intel Core i5 12th Gen,3480.95,HP, Gaming,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
580,https://rukminim1.flixcart.com/image/312/312/kdoup3k0/computer/e/v/p/hp-original-imafujjhdwjjh9j8.jpeg?q=70,HP 15s Core i5 11th Gen,3022.8,HP, Multimedia/Entertainment,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
582,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/computer/g/z/g/na-thin-and-light-laptop-avita-original-imag6y5qsuewhwks.jpeg?q=70,Avita PURA APU Dual Core A6 9220e,1346.95,Avita, Budget Friendly,AMD APU Dual Core A6 Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD
584,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70,acer Nitro 5 Ryzen 5 Hexa Core AMD R5,3739.45,acer, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
585,https://rukminim1.flixcart.com/image/312/312/jkcwakw0/computer/z/z/t/asus-na-thin-and-light-laptop-original-imaf7qdw3zrazcqz.jpeg?q=70,ASUS ZenBook S Core i7 8th Gen,5499.45,ASUS, Business/Professional,Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD
587,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/q/d/n/-original-imagetjymucqggdq.jpeg?q=70,ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i5 12th Gen,5224.45,ASUS, Gaming,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD
591,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70,ASUS VivoBook 15 Ryzen 3 Dual Core AMD R3,1484.45,ASUS, Creative/Design,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD
592,https://rukminim1.flixcart.com/image/312/312/kf8kvbk0/computer/9/a/k/asus-original-imafvq27mhsqxhek.jpeg?q=70,ASUS ExpertBook P1 Core i5 10th Gen,3436.95,ASUS,Ultra-portable,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
593,https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/c/j/8/hp-original-imagyckn3hqfgp4y.jpeg?q=70,HP 15s Core i3 11th Gen,2307.8,HP, Home/Everyday use,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
594,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/j/h/an515-45-gaming-laptop-acer-original-imagkfjta83h2njz.jpeg?q=70,acer Nitro 5 Ryzen 5 Hexa Core 5600H,3794.45,acer, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|512 GB SSD
595,https://rukminim1.flixcart.com/image/312/312/l572ufk0/computer/r/n/k/fx517zc-hn108ws-gaming-laptop-asus-original-imagfxj5nfwkg5s7.jpeg?q=70,ASUS TUF Dash F15 Core i7 12th Gen,8228.55,ASUS, Gaming,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD
596,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,3519.45,ASUS, Multimedia/Entertainment,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
598,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/8/z/-original-imaggsy54zwpjhkp.jpeg?q=70,GIGABYTE G5 GD Core i5 11th Gen,3794.45,GIGABYTE, Gaming,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
599,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,3326.95,Lenovo, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
602,https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70,HP Pavilion Gaming Core i7 11th Gen,4345.0,HP, Gaming,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
603,https://rukminim1.flixcart.com/image/312/312/kulk9zk0/computer/f/t/w/15-ec2075ax-gaming-laptop-hp-original-imag7nyzhxqc7xhh.jpeg?q=70,HP Pavilion Gaming Ryzen 5 Hexa Core AMD R5,3520.0,HP, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
605,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/computer/b/m/o/na-gaming-laptop-asus-original-imag6xzyryhh82ff.jpeg?q=70,ASUS Core i9 10th Gen,14849.45,ASUS, Business/Professional,Intel Core i9 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD
607,https://rukminim1.flixcart.com/image/312/312/ksru0sw0/computer/d/p/w/15-eh1101au-thin-and-light-laptop-hp-original-imag69prbzxur5qq.jpeg?q=70,HP Pavilion Ryzen 5 Hexa Core 5500U,2783.0,HP, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
608,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/s/a/16-n0049ax-gaming-laptop-hp-original-imaghwptyggvfjjd.jpeg?q=70,HP OMEN Ryzen 7 Octa Core AMD R7,5955.95,HP, Gaming,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD
609,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,Lenovo IdeaPad Core i3 11th Gen,2089.45,Lenovo, Home/Everyday use,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit DOS Operating System,256 GB SSD
610,https://rukminim1.flixcart.com/image/312/312/ky90scw0/computer/q/4/8/vivobook-14-thin-and-light-laptop-asus-original-imagajf5gqrgsgzp.jpeg?q=70,ASUS Vivobook 14 Core i3 11th Gen,2144.45,ASUS, Home/Everyday use,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
611,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/6/z/k/hp-laptop-255-g8-notebook-notebook-hp-original-imagf6hthg9zbxug.jpeg?q=70,HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,1977.8,HP, Home/Everyday use,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD
612,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70,HP Pavilion Gaming Ryzen 5 Hexa Core 4600H,4400.0,HP, Gaming,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
613,https://rukminim1.flixcart.com/image/312/312/kwgpz0w0/computer/s/x/v/x415ea-ek302ws-laptop-asus-original-imag94tepsgcgrgk.jpeg?q=70,ASUS Core i3 11th Gen,1704.45,ASUS, Home/Everyday use,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD
614,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,2529.45,ASUS, Multimedia/Entertainment,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD
616,https://rukminim1.flixcart.com/image/312/312/kqe3low0/computer/m/g/r/inspiron-7415-2-in-1-laptop-dell-original-imag4ewka4uhnx4w.jpeg?q=70,DELL Inspiron Ryzen 7 Octa Core 5700U,4729.45,DELL, Business/Professional,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
618,https://rukminim1.flixcart.com/image/312/312/kiew3gw0/computer/q/p/u/asus-original-imafy7hcewzzkvj9.jpeg?q=70,ASUS TUF Gaming F17 Core i5 10th Gen,4069.45,ASUS, Gaming,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
620,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/m/w/-original-imagg5jscr4hcuqc.jpeg?q=70,Lenovo Core i3 11th Gen,2199.45,Lenovo, Home/Everyday use,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD
622,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/computer/2/d/3/na-thin-and-light-laptop-dell-original-imag7cst7unghqek.jpeg?q=70,DELL Inspiron Core i3 11th Gen,2391.95,DELL, Home/Everyday use,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
626,https://rukminim1.flixcart.com/image/312/312/computer/x/4/g/acer-aspire-notebook-original-imaeqcx3tpzq5cna.jpeg?q=70,acer Spin 7 Core i7 7th Gen,6599.45,acer, Creative/Design,Intel Core i7 Processor (7th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,256 GB SSD
629,https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/k/w/y/na-thin-and-light-laptop-asus-original-imag5bhxcm7ygyh7.jpeg?q=70,ASUS Ryzen 7 Octa Core 5800U,4399.45,ASUS,Ultra-portable,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,1 TB SSD
630,https://rukminim1.flixcart.com/image/312/312/j6dxaq80/computer/q/u/6/msi-na-gaming-laptop-original-imaewuvq7gmqcfa3.jpeg?q=70,MSI GL Core i7 7th Gen,3299.45,MSI, Gaming,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,DOS Operating System,1 TB HDD
632,https://rukminim1.flixcart.com/image/312/312/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70,DELL G15 Core i5 12th Gen,4674.45,DELL, Gaming,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD
634,https://rukminim1.flixcart.com/image/312/312/jmkwya80/computer/g/a/5/lenovo-na-thin-and-light-laptop-original-imaf9gh6stqkvph3.jpeg?q=70,Lenovo Ideapad 720S Core i5 8th Gen,4124.45,Lenovo, Business/Professional,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
635,https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70,HP Pavilion Gaming Core i5 11th Gen,3777.95,HP, Gaming,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD
638,https://rukminim1.flixcart.com/image/312/312/kr3tj0w0/computer/j/3/s/na-notebook-msi-original-imag4z5jfc9bzwyq.jpeg?q=70,MSI GP76 Core i7 11th Gen,9954.45,MSI, Gaming,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD
643,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/t/d/f/hp-original-imaftyzafphshjge.jpeg?q=70,HP 15s Core i3 10th Gen,2213.75,HP, Home/Everyday use,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD
644,https://rukminim1.flixcart.com/image/312/312/kubk70w0/computer/w/q/e/inspiron-3511-laptop-dell-original-imag7guhghwehqbf.jpeg?q=70,DELL Core i5 11th Gen,3403.95,DELL, Business/Professional,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD
646,https://rukminim1.flixcart.com/image/312/312/kd69z0w0/computer/m/3/u/hp-original-imafu4xzyz5kcr6n.jpeg?q=70,HP Intel Core i5 10th Gen,5362.5,HP, Business/Professional,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD
